기간,공장,공정코드,품명,신규분류요약,총_생산수량,총_양품수량,총_불량수량,전체_수율(%),로트별 종합수율
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA D Toric_CP-0.75 Dollish Gray_55% UV,1-Day_Color_Toric,1586.0,1585.0,1.0,99.94,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA D Toric_CP-0.75 TOPARDS Baby Espresso_55%_UV,1-Day_Color_Toric,9643.0,9640.0,3.0,99.97,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA D Toric_CP-1.25 Brown Bunny_55% UV,1-Day_Color_Toric,4545.0,4540.0,5.0,99.89,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA D Toric_CP-1.25 Coffee Jelly_55% UV,1-Day_Color_Toric,3159.0,3155.0,4.0,99.87,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA D Toric_CP-1.25 TOPARDS Baby Espresso_55%_UV,1-Day_Color_Toric,17819.0,17800.0,19.0,99.89,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA_Brown Fondue CP-1.25 Toric_UV,1-Day_Color_Toric,3892.0,3885.0,7.0,99.82,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA_Opal CP-1.25 Toric_UV,1-Day_Color_Toric,3976.0,3970.0,6.0,99.85,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA_Strawberry Quartz CP-0.75 Toric_UV,1-Day_Color_Toric,2870.0,2870.0,0.0,100.0,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA_Strawberry Quartz CP-1.25 Toric_UV,1-Day_Color_Toric,4136.0,4135.0,1.0,99.98,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,1-Day_58(수출용_파랑),1-Day_Sph,7942.0,7935.0,7.0,99.91,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,1-Day_Contakt-HA,1-Day_Sph,16387.0,16370.0,17.0,99.9,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,1-Day_Metha_Coastal,1-Day_Sph,7684.0,7680.0,4.0,99.95,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,1-Day_SOLEKO(5년),1-Day_Sph,12449.0,12430.0,19.0,99.85,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,Metha D_FML_55%,1-Day_Sph,7055.0,7045.0,10.0,99.86,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,Metha_Daily,1-Day_Sph,8720.0,8705.0,15.0,99.83,
2026-01-07,C관(2공장),[55] 접착/ 멸균,(NEW)1-Day_iris_Suzy Gray,1-Day_Color_Sph,12030.0,11855.0,160.0,98.55,
2026-01-07,C관(2공장),[55] 접착/ 멸균,(NEW)ALICIA BROWN(근시),1-Day_Color_Sph,51145.0,50440.0,625.0,98.62,
2026-01-07,C관(2공장),[55] 접착/ 멸균,1-Day_iris_Blue Moon,1-Day_Color_Sph,6535.0,6415.0,105.0,98.16,
2026-01-07,C관(2공장),[55] 접착/ 멸균,1-Day_iris_JazzBlack,1-Day_Color_Sph,33690.0,33170.0,465.0,98.46,
2026-01-07,C관(2공장),[55] 접착/ 멸균,1-Day_iris_Latin,1-Day_Color_Sph,20810.0,20245.0,535.0,97.28,
2026-01-07,C관(2공장),[55] 접착/ 멸균,1-Day_iris_Rhapsody,1-Day_Color_Sph,2810.0,2785.0,20.0,99.11,
2026-01-07,C관(2공장),[55] 접착/ 멸균,1-Day_iris_SoulBrown,1-Day_Color_Sph,111180.0,109535.0,1485.0,98.52,
2026-01-07,C관(2공장),[55] 접착/ 멸균,1-Day_iris_Suzy Gray,1-Day_Color_Sph,2910.0,2865.0,40.0,98.45,
2026-01-07,C관(2공장),[55] 접착/ 멸균,AKMA REAL FIT 3 Gray,1-Day_Color_Sph,12435.0,12285.0,130.0,98.79,
2026-01-07,C관(2공장),[55] 접착/ 멸균,ANW D_Dusk Beige_Dopewink 38%,1-Day_Color_Sph,7665.0,7555.0,95.0,98.56,
2026-01-07,C관(2공장),[55] 접착/ 멸균,ANW D_Through Beige_Dopewink 38%,1-Day_Color_Sph,5520.0,5455.0,55.0,98.82,
2026-01-07,C관(2공장),[55] 접착/ 멸균,Alcon D_Allure Grey_W3C(APAC),1-Day_Color_Sph,3915.0,3860.0,50.0,98.6,
2026-01-07,C관(2공장),[55] 접착/ 멸균,Alcon D_Allure Hazel_W3C(APAC),1-Day_Color_Sph,28895.0,28555.0,320.0,98.82,
2026-01-07,C관(2공장),[55] 접착/ 멸균,Clalen D_Iris_Mocha Black,1-Day_Color_Sph,24130.0,23910.0,180.0,99.09,
2026-01-07,C관(2공장),[55] 접착/ 멸균,Clalen D_Iris_Rosy Brown,1-Day_Color_Sph,11210.0,11040.0,150.0,98.48,
2026-01-07,C관(2공장),[55] 접착/ 멸균,Clalen D_Iris_Shiny Brown,1-Day_Color_Sph,9830.0,9695.0,120.0,98.63,
2026-01-07,C관(2공장),[55] 접착/ 멸균,FGC D_Latin_comfi 55%,1-Day_Color_Sph,500.0,495.0,5.0,99.0,
2026-01-07,C관(2공장),[55] 접착/ 멸균,HAPA(PIA) D_Sugar High Kristin Ash Choco 14.2_55% UV,1-Day_Color_Sph,16775.0,16540.0,190.0,98.6,
2026-01-07,C관(2공장),[55] 접착/ 멸균,IRIS_Jazz black(NEW),1-Day_Color_Sph,2990.0,2960.0,25.0,99.0,
2026-01-07,C관(2공장),[55] 접착/ 멸균,IRIS_Soul Brown(NEW),1-Day_Color_Sph,3395.0,3395.0,0.0,100.0,
2026-01-07,C관(2공장),[55] 접착/ 멸균,Layala_Alicia Brown,1-Day_Color_Sph,19480.0,19210.0,235.0,98.61,
2026-01-07,C관(2공장),[55] 접착/ 멸균,Layala_Jazz Black,1-Day_Color_Sph,3600.0,3545.0,50.0,98.47,
2026-01-07,C관(2공장),[55] 접착/ 멸균,PIA D_Bad Girl_55% UV,1-Day_Color_Sph,3795.0,3735.0,60.0,98.42,
2026-01-07,C관(2공장),[55] 접착/ 멸균,PIA D_Brown Bunny_55% UV,1-Day_Color_Sph,12749.0,12015.0,684.0,94.24,
2026-01-07,C관(2공장),[55] 접착/ 멸균,PIA D_Brulee Pearl_55%_14.2 UV,1-Day_Color_Sph,1610.0,1600.0,10.0,99.38,
2026-01-07,C관(2공장),[55] 접착/ 멸균,PIA D_Bubble Blue_55% UV,1-Day_Color_Sph,5995.0,5890.0,90.0,98.25,
2026-01-07,C관(2공장),[55] 접착/ 멸균,PIA D_Choco Ribbon_55% UV 14.2,1-Day_Color_Sph,4235.0,4175.0,55.0,98.58,
2026-01-07,C관(2공장),[55] 접착/ 멸균,PIA D_Coffee Jelly_55% UV,1-Day_Color_Sph,14515.0,14215.0,270.0,97.93,
2026-01-07,C관(2공장),[55] 접착/ 멸균,PIA D_Dark Peony_55% UV,1-Day_Color_Sph,405.0,400.0,5.0,98.77,
2026-01-07,C관(2공장),[55] 접착/ 멸균,PIA D_Dream Gray_55% UV,1-Day_Color_Sph,635.0,605.0,25.0,95.28,
2026-01-07,C관(2공장),[55] 접착/ 멸균,PIA D_Grege Quartz 38% UV,1-Day_Color_Sph,3945.0,3890.0,45.0,98.61,
2026-01-07,C관(2공장),[55] 접착/ 멸균,PIA D_Love Cacao_55%_14.2 UV,1-Day_Color_Sph,18995.0,18485.0,480.0,97.32,
2026-01-07,C관(2공장),[55] 접착/ 멸균,PIA D_Melty Mist_55% UV,1-Day_Color_Sph,4265.0,4160.0,90.0,97.54,
2026-01-07,C관(2공장),[55] 접착/ 멸균,PIA D_Mocha Powder_55%_14.2 UV,1-Day_Color_Sph,10600.0,10380.0,195.0,97.92,
2026-01-07,C관(2공장),[55] 접착/ 멸균,PIA D_Oolong Tea_55% UV,1-Day_Color_Sph,1830.0,1770.0,45.0,96.72,
2026-01-07,C관(2공장),[55] 접착/ 멸균,PIA D_Pink Bomb_55%_14.5 UV,1-Day_Color_Sph,1630.0,1615.0,10.0,99.08,
2026-01-07,C관(2공장),[55] 접착/ 멸균,PIA D_Sakura Smore_55% UV,1-Day_Color_Sph,6485.0,6345.0,115.0,97.84,
2026-01-07,C관(2공장),[55] 접착/ 멸균,PIA D_Star Glow_55%_14.5 UV,1-Day_Color_Sph,5585.0,5260.0,310.0,94.18,
2026-01-07,C관(2공장),[55] 접착/ 멸균,PIA D_Sugar Ribbon_55% UV 14.2,1-Day_Color_Sph,20400.0,20135.0,235.0,98.7,
2026-01-07,C관(2공장),[55] 접착/ 멸균,PIA D_Teddy Brown_55% UV,1-Day_Color_Sph,3095.0,3065.0,25.0,99.03,
2026-01-07,C관(2공장),[55] 접착/ 멸균,PIA D_Twinkle Brown_55%_14.5 UV,1-Day_Color_Sph,2845.0,2755.0,75.0,96.84,
2026-01-07,C관(2공장),[55] 접착/ 멸균,PIA_BROWN MANEGE,1-Day_Color_Sph,1990.0,1930.0,50.0,96.98,
2026-01-07,C관(2공장),[55] 접착/ 멸균,PIA_Cafe Mocha_1D_55%_14.5,1-Day_Color_Sph,1410.0,1360.0,45.0,96.45,
2026-01-07,C관(2공장),[55] 접착/ 멸균,PIA_Cappuccino_55%_1-DAY,1-Day_Color_Sph,3435.0,3375.0,60.0,98.25,
2026-01-07,C관(2공장),[55] 접착/ 멸균,PIA_Chestnut_1D_55%_14.5,1-Day_Color_Sph,495.0,470.0,20.0,94.95,
2026-01-07,C관(2공장),[55] 접착/ 멸균,PIA_HOJICHA LATTE_55%,1-Day_Color_Sph,710.0,685.0,20.0,96.48,
2026-01-07,C관(2공장),[55] 접착/ 멸균,PIA_Hot Chocolate_55%_1-DAY,1-Day_Color_Sph,1870.0,1845.0,20.0,98.66,
2026-01-07,C관(2공장),[55] 접착/ 멸균,PIA_MS1 Dazzle Beige_2T,1-Day_Color_Sph,6330.0,6030.0,265.0,95.26,
2026-01-07,C관(2공장),[55] 접착/ 멸균,PIA_MS2 Dazzle Gray_2T,1-Day_Color_Sph,625.0,610.0,15.0,97.6,
2026-01-07,C관(2공장),[55] 접착/ 멸균,PIA_MS3 Coral Brown_2T,1-Day_Color_Sph,415.0,400.0,10.0,96.39,
2026-01-07,C관(2공장),[55] 접착/ 멸균,PIA_MS4 Mirror Gray_3T,1-Day_Color_Sph,4225.0,4110.0,95.0,97.28,
2026-01-07,C관(2공장),[55] 접착/ 멸균,PIA_MS5 Tint Brown_1T,1-Day_Color_Sph,1080.0,1070.0,10.0,99.07,
2026-01-07,C관(2공장),[55] 접착/ 멸균,PIA_Sheer Black_55%_1-DAY,1-Day_Color_Sph,2205.0,2170.0,30.0,98.41,
